commodity_observed_name,category_observed_name,ore_unit_observed_name,ore_value,grade_unit_observed_name,grade_value,cutoff_grade_unit_observed_name,cutoff_grade_value,contained_metal,zone
Zinc,proven,tonnes,41900000.0,percent,19.2,Main Deposit
Zinc,probable,tonnes,56100000.0,percent,16.6,Aqqaluk Deposit
Zinc,total,tonnes,98000000.0,percent,17.7,Total Mineral Reserve
Zinc,indicated,tonnes,3400000.0,percent,9.8,Aqqaluk Deposit
Zinc,indicated,tonnes,9600000.0,percent,17.8,Qanaiyaq Deposit
Zinc,total,tonnes,13000000.0,percent,15.7,Total Indicated Mineral Resource
Zinc,inferred,tonnes,6800000.0,percent,6.5,Aqqaluk Deposit
Zinc,inferred,tonnes,13000000.0,percent,15.0,Palaaaq Deposit
Zinc,inferred,tonnes,17200000.0,percent,15.8,Anarraaq Deposit
Zinc,total,tonnes,37000000.0,percent,13.8,Total Inferred Mineral Resource
Lead,proven,tonnes,41900000.0,percent,5.2,Main Deposit
Lead,probable,tonnes,56100000.0,percent,4.1,Aqqaluk Deposit
Lead,total,tonnes,98000000.0,percent,4.6,Total Mineral Reserve
Lead,indicated,tonnes,3400000.0,percent,3.7,Aqqaluk Deposit
Lead,indicated,tonnes,9600000.0,percent,5.5,Qanaiyaq Deposit
Lead,total,tonnes,13000000.0,percent,5.0,Total Indicated Mineral Resource
Lead,inferred,tonnes,6800000.0,percent,3.6,Aqqaluk Deposit
Lead,inferred,tonnes,13000000.0,percent,4.0,Palaaaq Deposit
Lead,inferred,tonnes,17200000.0,percent,4.8,Anarraaq Deposit
Lead,total,tonnes,37000000.0,percent,4.3,Total Inferred Mineral Resource
Silver,proven,tonnes,41900000.0,grams per tonne,100,Main Deposit
Silver,probable,tonnes,56100000.0,grams per tonne,76,Aqqaluk Deposit
Silver,total,tonnes,98000000.0,grams per tonne,86,Total Mineral Reserve
Silver,indicated,tonnes,3400000.0,grams per tonne,78,Aqqaluk Deposit
Silver,indicated,tonnes,9600000.0,grams per tonne,117,Qanaiyaq Deposit
Silver,total,tonnes,13000000.0,grams per tonne,107,Total Indicated Mineral Resource
Silver,inferred,tonnes,6800000.0,grams per tonne,59,Aqqaluk Deposit
Silver,inferred,tonnes,13000000.0,grams per tonne,90,Palaaaq Deposit
Silver,inferred,tonnes,17200000.0,grams per tonne,71,Anarraaq Deposit
Silver,total,tonnes,37000000.0,grams per tonne,75,Total Inferred Mineral Resource
